Date,Value
2023-08-13 18:46:30,1
2023-08-13 18:47:30,1
2023-08-13 18:48:30,1
2023-08-13 18:49:30,0
2023-08-13 18:50:30,1
2023-08-13 18:51:30,1
2023-08-13 18:52:30,0
2023-08-13 18:53:30,1
2023-08-13 18:54:30,0
2023-08-13 18:55:53,0
2023-08-13 18:56:53,1
2023-08-13 18:57:54,0
2023-08-13 18:58:54,0
2023-08-13 18:59:54,0
2023-08-13 19:00:54,1
2023-08-13 19:01:54,0
2023-08-13 19:02:54,1
2023-08-13 19:03:54,0
2023-08-13 19:04:54,1
2023-08-13 19:05:54,0
2023-08-13 19:06:54,1
2023-08-13 19:07:54,1
2023-08-13 19:08:54,1
2023-08-13 19:09:54,1
2023-08-13 19:10:54,1
2023-08-13 19:11:54,1
2023-08-13 19:12:54,0
2023-08-13 19:13:54,0
2023-08-13 19:14:54,1
2023-08-13 19:15:54,0
2023-08-13 19:16:55,1
2023-08-13 19:17:55,1
2023-08-13 19:18:55,0
2023-08-13 19:19:55,0
2023-08-13 19:20:55,1
2023-08-13 19:21:55,0
2023-08-13 19:22:55,1
2023-08-13 19:23:55,1
2023-08-13 19:24:55,1
2023-08-13 19:25:55,1
2023-08-13 19:26:55,0
2023-08-13 19:27:55,0
2023-08-13 19:28:55,0
2023-08-13 19:29:55,1
2023-08-13 19:30:55,0
2023-08-13 19:31:55,1
2023-08-13 19:32:55,1
2023-08-13 19:33:55,1
2023-08-13 19:34:55,1
2023-08-13 19:35:55,1
2023-08-13 19:36:55,0
2023-08-13 19:37:56,1
2023-08-13 19:38:56,1
2023-08-13 19:39:56,0
2023-08-13 19:40:56,1
2023-08-13 19:41:56,0
2023-08-13 19:42:56,0
2023-08-13 19:43:56,0
2023-08-13 19:44:56,0
2023-08-13 19:45:56,0
2023-08-13 19:46:56,0
2023-08-13 19:47:56,0
2023-08-13 19:48:56,0
2023-08-13 19:49:56,1
2023-08-13 19:50:56,1
2023-08-13 19:51:56,0
2023-08-13 19:52:56,0
2023-08-13 19:53:56,0
2023-08-13 19:54:56,1
2023-08-13 19:55:57,1
2023-08-13 19:56:57,1
2023-08-13 19:57:57,1
2023-08-13 19:58:57,0
2023-08-13 19:59:57,0
2023-08-13 20:00:57,0
2023-08-13 20:01:57,0
2023-08-13 20:02:57,0
2023-08-13 20:03:57,1
2023-08-13 20:04:57,0
2023-08-13 20:05:57,1
2023-08-13 20:06:57,0
2023-08-13 20:07:57,1
2023-08-13 20:08:57,1
2023-08-13 20:09:57,1
2023-08-13 20:10:57,0
2023-08-13 20:11:57,0
2023-08-13 20:12:58,0
2023-08-13 20:13:58,0
2023-08-13 20:14:58,0
2023-08-13 20:15:58,0
2023-08-13 20:16:58,0
2023-08-13 20:17:58,0
2023-08-13 20:18:58,1
2023-08-13 20:19:58,0
2023-08-13 20:20:58,1
2023-08-13 20:21:58,1
2023-08-13 20:22:58,1
2023-08-13 20:23:58,0
2023-08-13 20:24:58,1
2023-08-13 20:25:58,1
2023-08-13 20:26:58,1
2023-08-13 20:27:58,1
2023-08-13 20:28:58,1
2023-08-13 20:29:59,0
